,net
2018-03-13,-0.004359330130116434
2018-03-14,0.00044248335819937687
2018-03-15,0.004329990724109613
2018-03-16,-0.004720929636732493
2018-03-19,0.0006724768320154886
2018-03-20,0.0010057022664657017
2018-03-21,-0.0035237870328347996
2018-03-22,-0.006650618868298986
2018-03-23,0.00034758286474528247
2018-03-26,0.0021824955108141896
2018-03-27,-0.011205349146070393
2018-03-28,-0.008638395952761587
2018-03-29,0.0008148041608776543
2018-04-02,-0.0017008897173885107
2018-04-03,-0.00220639167779696
2018-04-04,-0.0020244111540729222
2018-04-05,-0.004244102523712128
2018-04-06,-0.004647483285318053
2018-04-09,0.0026052716378419595
2018-04-10,0.006236901990624067
2018-04-11,-0.0013536680770074416
2018-04-12,0.005266764251549568
2018-04-13,-0.008960959570062401
2018-04-16,-0.007324484794517209
2018-04-17,0.0010894341853887773
2018-04-18,-3.4634156316547563e-05
2018-04-19,0.004527273009914461
2018-04-20,-0.0010139877162190125
2018-04-23,-0.0019738608368597512
2018-04-24,-0.006490192190013655
2018-04-25,-0.0026672741248632633
2018-04-26,5.045335340154197e-05
2018-04-27,-0.0019877499760592183
2018-04-30,0.0034392429483418177
2018-05-01,-0.0022708792693422815
2018-05-02,0.003412732901859796
2018-05-03,0.001992716994698714
2018-05-04,0.0029769807331245937
2018-05-07,-0.00014769703357962448
2018-05-08,0.0031605177763806523
2018-05-09,0.0030909859795386547
2018-05-10,-0.004966261986062792
2018-05-11,-0.002374164073186481
2018-05-14,0.004436402285738126
2018-05-15,0.005610684268879379
2018-05-16,0.0010374292244134083
2018-05-17,0.004800816662757847
2018-05-18,0.001062550113025058
2018-05-21,0.004871162120806529
2018-05-22,-0.0060594035531597035
2018-05-23,-0.0014634005087359012
2018-05-24,-0.0030829719708236896
2018-05-25,-0.01131446689923439
2018-05-29,0.006512432713088966
2018-05-30,0.006199714268976911
2018-05-31,-0.0020443423754472247
2018-06-01,-0.004763369858992945
2018-06-04,-0.006761346983439625
2018-06-05,0.01159708146938857
2018-06-06,-0.0027741050368271444
2018-06-07,0.012111337332061652
2018-06-08,-0.01169968985601605
2018-06-11,0.001670736994120656
2018-06-12,-0.0011439580773376103
2018-06-13,0.0021994884799913434
2018-06-14,0.00559401052955897
2018-06-15,-0.013041634845116907
2018-06-18,0.01382893874553867
2018-06-19,-0.0034835519465321067
2018-06-20,0.0021476795637992803
2018-06-21,-0.00010396337702342682
2018-06-22,0.003517003597600307
2018-06-25,-0.014592918141051675
2018-06-26,0.010733293524591483
2018-06-27,0.009642513185475
2018-06-28,-0.005864436437701954
2018-06-29,-0.005267082317253698
2018-07-02,0.0072504698802906145
2018-07-03,-0.009448570806154761
2018-07-05,-0.0046590118675799725
2018-07-06,8.610008535248504e-06
2018-07-09,-0.0002946921001400945
2018-07-10,-0.0016706253270022673
2018-07-11,-0.0013122020768420572
2018-07-12,-0.003278850483805473
2018-07-13,-0.0020275350696991237
2018-07-16,-0.008680177474322153
2018-07-17,-0.003624534843137985
2018-07-18,0.004939131794455949
2018-07-19,0.0065000484517870405
2018-07-20,-0.014262358277365897
2018-07-23,0.005147547377692918
2018-07-24,-0.012087557927334779
