,net
2013-08-14,-0.013973438872556263
2013-08-15,-0.021207672023464803
2013-08-16,0.008492810025513319
2013-08-19,0.005983055918056785
2013-08-20,0.0007967027256739398
2013-08-21,0.011181175785263606
2013-08-22,-0.002844086450471142
2013-08-23,-0.01457604588768368
2013-08-26,0.0033473255012124894
2013-08-27,-0.005904239931799725
2013-08-28,0.007831691537459337
2013-08-29,0.000660029769998397
2013-08-30,-0.0074156771468471645
2013-09-03,0.003954335019643191
2013-09-04,0.0014740720246220712
2013-09-05,0.004467859102909697
2013-09-06,-0.01331969232243196
2013-09-09,-0.0019867947049443395
2013-09-10,0.011020313972348513
2013-09-11,-0.003271328668984256
2013-09-12,0.014342376869240078
2013-09-13,-0.002478496295522086
2013-09-16,0.003758860642243242
2013-09-17,0.00024978243303453644
2013-09-18,-0.029866501113321117
2013-09-19,0.004906933629461592
2013-09-20,0.017900914739348597
2013-09-23,-9.99823000694993e-05
2013-09-24,0.001847605685334592
2013-09-25,-0.00327420859970772
2013-09-26,0.005939994422601023
2013-09-27,0.0051849558111853
2013-09-30,0.0007745591542632204
2013-10-01,0.007356952843079647
2013-10-02,-0.006378476399600566
2013-10-03,-0.002147647989633435
2013-10-04,0.0045064682706978726
2013-10-07,-0.015669346473539323
2013-10-08,-0.008258091859916135
2013-10-09,-0.007646018466219313
2013-10-10,0.011793427572448053
2013-10-11,0.003082389521400876
2013-10-14,0.002840320453780305
2013-10-15,-0.002237756186670788
2013-10-16,0.00900902455310485
2013-10-17,-0.008964628812818216
2013-10-18,0.004638380171153082
2013-10-21,-0.0028416503607799296
2013-10-22,-0.008759675931734063
2013-10-23,0.001761725107114967
2013-10-24,-5.279361593262739e-05
2013-10-25,-0.0054666757447970294
2013-10-28,0.0002822532603581904
2013-10-29,0.0057498780158616895
2013-10-30,-0.007314447774559674
2013-10-31,0.008352407224289184
2013-11-01,0.004432836679085867
2013-11-04,-0.00040648446025872407
2013-11-05,0.0058403339677526485
2013-11-06,-0.004590645829877046
2013-11-07,-0.004214409260108918
2013-11-08,0.017092059508833312
2013-11-11,0.0041871843125079935
